ITEM,X,Y,Z,ROTATION
wall.corner.002,-4.0,3.0,0.0,0.0
wall.corner.002,-4.0,-2.0,0.0,1.571
wall.002,-4.0,2.0,0.0,0.0
wall.002,-4.0,1.0,0.0,0.0
wall.002,-4.0,0.0,0.0,0.0
wall.002,-4.0,-1.0,0.0,0.0
floor.01.000,-4.0,-1.0,0.0,0.0
floor.01.000,-4.0,-2.0,0.0,0.0
floor.01.000,-4.0,0.0,0.0,0.0
floor.01.000,-4.0,1.0,0.0,0.0
floor.01.000,-4.0,2.0,0.0,0.0
floor.01.000,-4.0,3.0,0.0,0.0
wall.002,-3.0,3.0,0.0,-1.571
wall.002,-2.0,3.0,0.0,-1.571
floor.01.000,-3.0,3.0,0.0,-1.571
floor.01.000,-2.0,3.0,0.0,-1.571
