ITEM,X,Y,Z,ROTATION
wall.corner.000,-3.0,3.0,0.0,0.0
wall.corner.000,-3.0,-1.0,0.0,1.571
wall.corner.000,-1.0,3.0,0.0,-1.571
floor.01.000,-3.0,0.0,0.0,1.571
floor.01.000,-3.0,1.0,0.0,1.571
floor.01.000,-3.0,2.0,0.0,1.571
floor.01.000,-3.0,3.0,0.0,1.571
floor.01.000,-2.0,3.0,0.0,1.571
floor.01.000,-1.0,3.0,0.0,1.571
floor.01.000,-1.0,2.0,0.0,1.571
floor.01.000,-1.0,1.0,0.0,1.571
floor.01.000,-1.0,0.0,0.0,1.571
floor.01.000,-1.0,-1.0,0.0,1.571
floor.01.000,-2.0,-1.0,0.0,1.571
floor.01.000,-3.0,-1.0,0.0,1.571
floor.02.000,-2.0,0.0,0.0,1.571
floor.02.000,-2.0,1.0,0.0,1.571
floor.02.000,-2.0,2.0,0.0,1.571
wall.001,-3.0,2.0,0.0,0.0
wall.001,-3.0,2.0,0.0,0.0
wall.001,-3.0,1.0,0.0,0.0
wall.001,-3.0,0.0,0.0,0.0
wall.001,-2.0,3.0,0.0,-1.571
